api,lat,lon
03710008,33.805233,-118.181323
03710016,33.808777,-118.179913
03710017,33.811254,-118.180205
03710018,33.809328,-118.176606
03710022,33.813234,-118.178382
03710027,33.796468,-118.160229
03710042,33.825284,-118.193513
03707476,34.013334,-118.385553
03707477,34.013919,-118.38504
03707568,33.911857,-118.384162
03707601,34.449443,-118.581374
03707603,34.446325,-118.580249
03707605,34.44981,-118.584095
03707606,34.449818,-118.588439
03707607,34.448308,-118.582953
03707608,34.448291,-118.586378
03707609,34.44874,-118.591334
03707610,34.451626,-118.591844
03707611,34.450085,-118.593819
03707612,34.447737,-118.595448
03707613,34.450299,-118.598536
03707614,34.450499,-118.602921
03707616,34.449199,-118.596947
03707617,34.44935,-118.601136
03707618,34.446485,-118.582433
03707619,34.446372,-118.58636
03707620,34.446702,-118.589998
03707621,34.444767,-118.584164
03707656,34.005245,-118.364107
03707665,33.997234,-118.362591
03707690,34.008981,-118.379379
03707692,34.007022,-118.377401
03707693,34.006197,-118.377029
03707696,34.006903,-118.378723
03707698,34.004751,-118.377783
03707703,34.000836,-118.362694
03707704,34.000884,-118.362733
03707706,34.002593,-118.36566
03706687,34.42992,-118.686013
03706688,34.428243,-118.67791
03706689,34.428894,-118.677497
03706690,34.422995,-118.674571
03706691,34.426493,-118.686383
03706693,34.422882,-118.674842
03706694,34.423107,-118.67085
03706698,34.428301,-118.675223
03706699,34.426578,-118.670963
03706700,34.42798,-118.674726
03706702,34.425532,-118.672031
03706704,34.428398,-118.673033
03706708,34.425467,-118.670763
03706709,34.428028,-118.675043
03706710,34.425311,-118.675365
03706711,34.424242,-118.671489
03706713,34.427144,-118.67194
03706715,34.427492,-118.673954
03706716,34.427246,-118.669278
03706719,34.428417,-118.66418
03706722,34.429159,-118.662051
03706723,34.426602,-118.664158
03711461,33.947314,-117.908412
03711462,33.946808,-117.905577
03711464,33.94843,-117.911956
03711466,33.947193,-117.908533
03711467,33.95112,-117.909198
03711470,33.947436,-117.912123
03711474,33.946339,-117.909975
03711475,33.946921,-117.913249
03711479,33.81027,-118.17484
03708710,34.002949,-118.375499
03708711,34.004948,-118.378831
03708714,34.004926,-118.381214
03708716,34.002228,-118.377132
03708717,34.007842,-118.38058
03708718,34.003525,-118.37575
03708719,34.006552,-118.379537
03708720,34.004513,-118.376474
03708722,34.007266,-118.378809
03708724,34.009524,-118.380586
03708726,34.001403,-118.374869
03708729,34.00377,-118.377941
03708730,34.008495,-118.37959
03708731,34.003127,-118.377346
03708733,34.008081,-118.37828
03708734,34.008428,-118.379602
03708735,34.004538,-118.379117
03708736,34.005209,-118.381228
03708738,34.002688,-118.379262
03708739,34.004779,-118.381199
03708746,34.011433,-118.385712
03708751,34.011741,-118.385166
03708752,34.010947,-118.385852
03708753,34.01071,-118.384881
03708755,34.011479,-118.385204
03708756,34.010641,-118.384749
03708760,34.009034,-118.384412
03708762,34.008984,-118.386811
03708764,34.011819,-118.385167
03708765,34.009614,-118.384377
03707708,34.003022,-118.366169
03707709,34.004296,-118.366213
03707711,33.997593,-118.364283
03707712,34.000365,-118.364947
03707714,34.002883,-118.364994
03707716,33.999041,-118.36381
03707718,34.001498,-118.364019
03707722,33.998877,-118.362725
03707726,33.99838,-118.361358
03707729,33.996529,-118.361003
03707732,34.000839,-118.366385
03707733,34.001517,-118.366249
03707736,33.999786,-118.364388
03707738,34.00172,-118.36385
03707745,33.998854,-118.36643
03707750,34.0004,-118.365605
03707751,34.00154,-118.3649
03707752,34.002554,-118.365479
03707753,33.999059,-118.363881
03707759,34.00079,-118.362654
03707760,33.997433,-118.359538
03707762,33.998047,-118.362605
03707765,33.998634,-118.361881
03707766,33.997195,-118.362442
03707771,33.993608,-118.360305
03707772,33.993896,-118.361175
03707773,33.993859,-118.36116
03707774,33.991781,-118.360808
03707775,33.9919,-118.360726
03707777,33.989604,-118.360178
03707779,34.010454,-118.378615
03711481,33.810842,-118.175997
03711482,33.810152,-118.174475
03711483,33.810705,-118.174484
03711484,33.810159,-118.175995
03711487,33.811445,-118.17449
03711500,33.809351,-118.171512
03711501,33.809268,-118.170554
03711506,33.796557,-118.157664
03711508,33.796468,-118.157175
03711510,33.800897,-118.169194
03711514,33.809101,-118.173584
03711519,33.808509,-118.173589
03711521,33.809531,-118.173651
03711522,33.806971,-118.173584
03711523,33.806393,-118.172522
03711524,33.807542,-118.172567
03711531,33.813038,-118.181174
03711532,33.813024,-118.182859
03711537,33.813982,-118.184534
03711540,33.815607,-118.18454
03711541,33.81646,-118.184534
03711545,33.813351,-118.180901
03711546,33.812187,-118.181282
03711547,33.815947,-118.18285
03711548,33.814946,-118.181342
03711551,33.815607,-118.184004
03711553,33.812049,-118.18415
03711554,33.812831,-118.182167
03711555,33.81515,-118.181924
03711556,33.814082,-118.183974
03711557,33.815153,-118.182244
03711558,33.814204,-118.18442
03711560,33.813688,-118.181683
03708766,34.00821,-118.384041
03708767,34.009641,-118.386042
03708768,34.008379,-118.385509
03708769,34.007368,-118.385064
03708772,33.999925,-118.374241
03708774,34.002902,-118.376756
03708776,33.807184,-118.170706
03708777,33.806918,-118.170731
03708778,33.807475,-118.169647
03708779,33.807878,-118.169652
03708794,33.802253,-118.169144
03708796,33.802898,-118.178716
03708806,33.803589,-118.180063
03708807,33.803708,-118.179785
03708810,33.825853,-118.192278
03708816,33.821334,-118.190303
03708825,33.798935,-118.169722
03708862,33.819693,-118.19158
03708899,33.793121,-118.152901
03708900,33.793354,-118.152416
03708924,33.792476,-118.152187
03708929,33.8041,-118.174436
03708930,33.80269,-118.174392
03708940,33.803622,-118.174691
03708941,33.802847,-118.174289
03708943,33.80327,-118.174363
03708946,33.792709,-118.154404
03708947,33.802101,-118.169632
03708948,33.800821,-118.15865
03708951,33.808769,-118.172925
03708955,33.803708,-118.1787
03708962,33.801608,-118.168389
03707782,34.011361,-118.377076
03707785,34.009801,-118.375194
03707787,34.009838,-118.373646
03707789,34.010526,-118.377573
03707791,34.010636,-118.375007
03707792,34.010666,-118.373679
03707793,34.010007,-118.378407
03707794,34.009976,-118.378039
03707795,34.009931,-118.376844
03707796,34.010149,-118.37441
03707797,34.010123,-118.377905
03707798,34.009964,-118.376089
03707799,34.010081,-118.377551
03707800,34.01044,-118.378559
03707801,34.004463,-118.372231
03707803,33.991195,-118.368294
03707822,34.002541,-118.371461
03707824,34.001396,-118.371968
03707825,34.001777,-118.369935
03707832,33.996755,-118.36665
03707833,34.005519,-118.371506
03707837,33.998952,-118.370759
03707839,33.993232,-118.36649
03707842,33.994385,-118.362549
03707845,34.001096,-118.373496
03707847,33.995575,-118.367977
03707850,34.001812,-118.373398
03707851,34.003479,-118.373425
03707855,34.004735,-118.369824
03707858,33.999045,-118.371695
03711572,33.81001,-118.184273
03711573,33.811286,-118.184529
03711574,33.810208,-118.183191
03711576,33.946492,-117.910803
03711578,33.946817,-117.911514
03711579,33.952031,-117.906024
03711581,33.953036,-117.912563
03711582,33.952461,-117.909197
03711586,33.949486,-117.917504
03711587,33.950304,-117.923346
03711588,33.94961,-117.919684
03711591,33.948922,-117.922819
03711592,33.950927,-117.921076
03711593,33.95019,-117.923198
03711595,33.948268,-117.918853
03711596,33.947548,-117.916465
03711597,33.947895,-117.91807
03711599,33.948844,-117.921942
03711602,33.948214,-117.91964
03711604,33.947265,-117.914727
03711605,33.949195,-117.918356
03711606,33.949884,-117.923898
03711607,33.949044,-117.921747
03711608,33.948658,-117.919805
03711609,33.949256,-117.917584
03711610,33.95453,-117.921958
03711613,33.94885,-117.91506
03711616,33.955978,-117.920466
03711619,33.954841,-117.917729
03711622,33.955668,-117.918335
03711623,33.953943,-117.914534
03711627,33.95428,-117.91364
03711628,33.954482,-117.916132
03710045,33.800659,-118.173933
03710060,33.808165,-118.186523
03710064,33.791011,-118.152626
03710094,33.79664,-118.159152
03710117,33.809979,-118.173675
03710135,33.803144,-118.17868
03710148,33.810212,-118.181341
03710150,33.803315,-118.178671
03710166,33.819278,-118.183501
03710193,33.807054,-118.166804
03710195,33.795144,-118.159434
03710199,33.806412,-118.165886
03710226,33.812244,-118.178343
03710231,33.809247,-118.177992
03710232,33.808705,-118.17891
03710233,33.806707,-118.176532
03710234,33.807715,-118.176515
03710239,33.806542,-118.177536
03710240,33.806972,-118.177996
03710241,33.811866,-118.175761
03710242,33.811939,-118.176665
03710243,33.811361,-118.178022
03710244,33.811996,-118.178455
03710245,33.81186,-118.175036
03710246,33.811866,-118.174301
03710247,33.812484,-118.176576
03710248,33.81268,-118.177706
03710251,33.812876,-118.175567
03710255,33.813117,-118.174974
03710258,33.811874,-118.173375
03710260,33.808021,-118.179374
03710261,33.807424,-118.178394
03710262,33.807708,-118.176785
03707859,34.003459,-118.368741
03707860,34.005071,-118.375662
03707863,33.994334,-118.361534
03707867,34.012606,-118.385485
03707873,34.011784,-118.386663
03707876,34.012079,-118.385967
03707881,34.013648,-118.387732
03707882,33.993829,-118.361152
03707883,33.993908,-118.360425
03707884,33.99394,-118.360253
03707885,33.99408,-118.360248
03707891,34.008987,-118.374942
03707892,34.00902,-118.373703
03707896,34.007357,-118.373792
03707897,34.008034,-118.375932
03707898,34.007131,-118.375516
03707900,34.008058,-118.374832
03707935,33.773366,-118.127199
03708018,33.995724,-118.362816
03708020,33.995524,-118.362422
03708022,33.996028,-118.364629
03708024,33.994746,-118.364657
03708025,33.993558,-118.362937
03708033,33.995833,-118.36453
03708037,34.004598,-118.368565
03708038,33.999153,-118.368904
03708041,34.00142,-118.370314
03708042,34.004604,-118.369763
03708044,34.000196,-118.368877
03708048,34.003808,-118.375144
03708963,33.80131,-118.167815
03708964,33.800946,-118.16786
03708965,33.801599,-118.16782
03708971,33.804882,-118.172472
03708972,33.804598,-118.172225
03708973,33.804637,-118.172926
03708975,33.804714,-118.172292
03708990,33.772418,-118.127594
03709016,33.945091,-118.052935
03709032,33.946775,-118.069867
03709033,33.943768,-118.065141
03709034,33.945541,-118.065022
03709035,33.942374,-118.065019
03709036,33.944526,-118.065558
03709037,33.944525,-118.067105
03709038,33.947107,-118.067424
03709040,33.942243,-118.065895
03709041,33.942247,-118.064677
03709042,33.943996,-118.06736
03709043,33.943637,-118.065066
03709044,33.94685,-118.0697
03709045,33.945638,-118.067383
03709046,33.944886,-118.06507
03709047,33.94789,-118.069881
03709048,33.947408,-118.065078
03709051,33.942859,-118.067756
03709052,33.943774,-118.064899
03709054,33.942118,-118.066984
03709056,33.945821,-118.065387
03709057,33.946764,-118.069452
03709058,33.945481,-118.067111
03709062,33.943024,-118.064975
03711632,33.955456,-117.916754
03711636,33.953984,-117.913788
03711638,33.954938,-117.916161
03711639,33.955675,-117.918524
03711642,33.950189,-117.902147
03711643,33.951062,-117.903443
03711656,33.95448,-117.90211
03711658,33.954044,-117.903226
03711659,33.946959,-117.902884
03711660,33.947221,-117.914506
03711661,33.94679,-117.90599
03711664,33.948102,-117.906351
03711670,33.947386,-117.891348
03711672,33.948305,-117.889461
03711673,33.948367,-117.893786
03711674,33.947417,-117.890574
03711679,34.472113,-118.689082
03711681,34.473589,-118.689058
03711683,34.462979,-118.680606
03711684,34.472889,-118.696343
03711685,34.471991,-118.696
03711686,34.473505,-118.700027
03711687,34.47287,-118.695841
03711688,34.472744,-118.697133
03711689,34.472225,-118.693006
03711692,34.472688,-118.693753
03711693,34.472966,-118.694081
03711694,34.472954,-118.693793
03711698,34.470233,-118.689931
03711702,34.476361,-118.703865
03711707,34.392156,-118.49269
03711708,34.393886,-118.488122
03711709,34.391868,-118.492767
03708050,33.99932,-118.371696
03708051,33.993802,-118.363003
03708055,33.992659,-118.367125
03708066,33.995917,-118.367108
03708075,33.995395,-118.364256
03708078,34.005232,-118.369121
03708089,33.998609,-118.368309
03708090,33.999703,-118.368256
03708093,33.998659,-118.369619
03708095,34.000804,-118.368168
03708101,33.994286,-118.361276
03708102,34.006104,-118.374876
03708105,33.991653,-118.361598
03708106,33.993549,-118.362232
03708107,33.999251,-118.37281
03708108,34.001995,-118.374319
03708111,33.995729,-118.361923
03708116,33.99367,-118.363585
03708129,34.01338,-118.379281
03708138,33.999023,-118.368129
03708139,34.003416,-118.367899
03708151,34.004766,-118.373707
03708153,34.004816,-118.373732
03708154,34.005592,-118.373917
03708156,34.000576,-118.372857
03708158,33.995428,-118.36623
03708161,33.996596,-118.367085
03708163,33.99916,-118.371624
03708165,33.99554,-118.368157
03708168,34.004296,-118.374856
03710263,33.807122,-118.17826
03710264,33.807243,-118.1783
03710265,33.807818,-118.176779
03710266,33.809103,-118.179082
03710267,33.807178,-118.178281
03710304,33.806122,-118.17549
03710305,33.805316,-118.175555
03710325,33.798292,-118.162654
03710328,33.804142,-118.17945
03710332,33.804131,-118.179213
03710334,33.803629,-118.179225
03710335,33.80334,-118.179274
03710380,33.813172,-118.187502
03710384,33.802983,-118.173811
03710391,33.805067,-118.167413
03710396,33.805213,-118.164152
03710411,33.808444,-118.172874
03710427,33.810912,-118.182613
03710431,33.809194,-118.180891
03710433,33.809994,-118.181621
03710437,33.816898,-118.180321
03710440,33.811928,-118.180356
03710441,33.811845,-118.179472
03710447,33.815169,-118.191105
03710485,33.820549,-118.190521
03710486,33.820746,-118.190456
03710491,33.79806,-118.161271
03710499,33.810986,-118.185828
03710518,33.804309,-118.181277
03710519,33.801937,-118.177589
03710524,33.797277,-118.158727
03710591,33.809994,-118.170933
03710596,33.801981,-118.174343
03709063,33.944322,-118.0674
03709065,33.943492,-118.067382
03709066,33.945202,-118.067116
03709068,33.944159,-118.066384
03709069,33.946506,-118.066376
03709070,33.944645,-118.064863
03709071,33.944355,-118.066386
03709072,33.944663,-118.0677
03709074,33.945447,-118.066264
03709076,34.006194,-118.376506
03709079,33.98982,-118.360163
03709080,34.012267,-118.378753
03709082,34.012213,-118.376751
03709083,34.012731,-118.375792
03709084,34.01227,-118.374775
03709086,34.012096,-118.378703
03709087,34.012125,-118.377632
03709088,34.012697,-118.379204
03709090,34.012678,-118.378946
03709093,34.009926,-118.37945
03709095,34.010787,-118.379837
03709096,34.011456,-118.380144
03709097,34.011944,-118.379657
03709098,34.011721,-118.383918
03709099,34.010284,-118.380349
03709100,34.00959,-118.381453
03709101,34.013726,-118.383906
03709107,34.009397,-118.383391
03709111,34.009794,-118.38231
03709112,34.011477,-118.381254
03709113,34.012353,-118.382855
03711710,34.392664,-118.492903
03711725,34.391471,-118.491057
03711726,34.391202,-118.491697
03711727,34.391383,-118.491733
03711728,34.391372,-118.49118
03711751,34.379058,-118.501888
03711755,34.376049,-118.501981
03711758,34.377677,-118.499641
03711759,34.377666,-118.499078
03711760,34.377672,-118.499124
03711764,34.376278,-118.500298
03711765,34.376841,-118.500402
03711767,34.376824,-118.498596
03711768,34.375403,-118.498317
03711769,34.3745,-118.498697
03711772,34.394426,-118.491525
03711776,33.803382,-118.178316
03711784,33.790189,-118.155081
03711793,33.815849,-118.180246
03711800,33.812466,-118.18643
03711802,33.814284,-118.189739
03711805,33.807003,-118.169595
03711806,33.817365,-118.187471
03711808,33.817238,-118.187941
03711809,33.818159,-118.186957
03711811,33.811341,-118.185287
03711812,33.806269,-118.176694
03711813,33.812168,-118.186461
03711828,33.801224,-118.171574
03711831,33.802148,-118.171157
03711832,33.802104,-118.170423
03708170,33.994504,-118.363151
03708171,34.001108,-118.369263
03708174,33.994393,-118.363217
03708176,34.003399,-118.374287
03708179,34.0044,-118.375148
03708181,34.005725,-118.375509
03708183,33.99513,-118.362939
03708187,34.001893,-118.368353
03708189,33.992102,-118.366942
03708192,33.998054,-118.372596
03708198,33.995674,-118.366186
03708203,33.995685,-118.362153
03708215,34.000991,-118.370869
03708222,34.002316,-118.374023
03708228,34.005434,-118.373764
03708229,34.005375,-118.375241
03708230,34.00522,-118.372417
03708231,34.005257,-118.374067
03708232,34.005212,-118.372086
03708233,34.005363,-118.37542
03708235,34.005126,-118.369711
03708236,34.005119,-118.369551
03708237,34.00391,-118.370355
03708238,34.004042,-118.37034
03708240,34.004369,-118.373885
03708243,34.004286,-118.371265
03708245,34.003942,-118.371363
03708248,34.004186,-118.370103
03708264,33.794449,-118.156566
03708267,34.372186,-118.498935
03711834,33.801188,-118.170186
03711835,33.801579,-118.171569
03711837,33.800207,-118.16965
03711838,33.802075,-118.170327
03711843,33.801085,-118.170538
03711844,33.8016,-118.171252
03711846,33.801108,-118.169585
03711862,33.802897,-118.179753
03711866,34.036826,-118.262295
03711867,34.03664,-118.261982
03711868,34.036792,-118.262239
03711869,34.036712,-118.262093
03711870,34.036666,-118.2621
03711871,34.03666,-118.262024
03711873,34.036747,-118.262163
03711874,34.036654,-118.261985
03711876,34.028873,-118.089282
03711879,34.030241,-118.085974
03711880,34.030445,-118.09049
03711881,34.030956,-118.096091
03711882,34.032545,-118.083562
03711883,34.02564,-118.102317
03711885,34.027619,-118.100121
03711886,34.032472,-118.0796
03711892,34.029175,-118.079928
03711934,34.031821,-118.07499
03711935,34.030491,-118.075988
03711936,34.030857,-118.078919
03712014,34.022457,-118.104176
03712036,34.036151,-118.078536
03709115,34.010469,-118.381478
03709118,34.01182,-118.379586
03709120,34.011501,-118.38254
03709121,34.009655,-118.379148
03709122,34.009606,-118.379097
03709123,34.008408,-118.38281
03709124,34.01196,-118.383013
03709125,34.011184,-118.38176
03709126,34.010144,-118.383274
03709127,34.012023,-118.382518
03709129,34.009006,-118.382858
03709130,34.007873,-118.38206
03709132,34.012033,-118.383001
03709133,34.006952,-118.382125
03709136,34.010494,-118.380725
03709137,34.010146,-118.381671
03709139,34.013131,-118.38448
03709140,34.012049,-118.380422
03709141,34.011261,-118.381961
03709143,34.010237,-118.379943
03709144,34.010972,-118.381771
03709145,34.012986,-118.383277
03709147,34.012173,-118.383953
03709149,34.012707,-118.380081
03709150,34.008968,-118.382167
03709151,34.010706,-118.380332
03709152,34.009672,-118.381252
03709153,34.013829,-118.401681
03709172,0,0
03709179,33.80786,-118.181006
03709182,33.786937,-118.147745
03708268,33.814082,-118.302436
03708269,33.813108,-118.306784
03708276,34.006912,-118.37395
03708277,34.008785,-118.376811
03708278,34.006802,-118.375896
03713052,34.369967,-118.495985
03713101,34.356554,-118.510131
03713103,34.356576,-118.509085
03713105,34.353298,-118.510355
03713107,34.354412,-118.510085
03713109,34.356359,-118.511142
03713114,34.350082,-118.50977
03713115,34.350074,-118.508762
03713119,34.336088,-118.559796
03713125,34.369419,-118.494588
03713148,34.354404,-118.509041
03713149,34.354945,-118.509901
03713150,34.354953,-118.509002
03713160,34.369828,-118.493853
03713161,34.370279,-118.496104
03713172,34.36599,-118.492984
03713176,34.022444,-118.1105
03713180,34.022241,-118.119353
03713213,34.33748,-118.550234
03713214,34.3376,-118.549703
03713227,34.359777,-118.502803
03713228,34.360621,-118.502889
03713247,34.388856,-118.617265
03713249,34.38994,-118.619865
03713253,34.398523,-118.639804
03713255,34.391545,-118.621955
03710598,33.818645,-118.193072
03710601,33.810207,-118.181194
03710611,33.801033,-118.168227
03710625,33.803537,-118.168617
03710652,33.913285,-118.281092
03710653,33.914006,-118.281078
03710664,34.391102,-118.492578
03710665,33.947926,-117.889255
03710667,34.448127,-118.580361
03710669,33.808653,-118.299181
03710670,34.373896,-118.496496
03710688,33.794887,-118.156459
03710692,33.808199,-118.175912
03710693,33.807835,-118.174664
03710695,33.809322,-118.174437
03710698,33.806431,-118.174655
03710699,33.807102,-118.176175
03710700,33.807481,-118.174709
03710701,33.808428,-118.174521
03710702,33.806533,-118.17525
03710703,33.807247,-118.175034
03710704,33.80876,-118.175075
03710705,33.808478,-118.175788
03710708,33.808567,-118.175472
03710709,33.806489,-118.175514
03710714,33.806128,-118.176176
03710719,33.801846,-118.167928
03710721,33.801945,-118.168256
03710726,33.811385,-118.181253
03710736,33.813575,-118.179826
